1,2871,569.00,476.00,36.00,46.00,1.0,-1,-1,-1
1,2872,644.00,563.00,45.00,67.00,1.0,-1,-1,-1
1,2873,744.00,503.00,31.00,35.00,1.0,-1,-1,-1
1,2874,700.00,556.00,43.00,56.00,1.0,-1,-1,-1
1,2875,699.00,485.00,32.00,38.00,1.0,-1,-1,-1
1,2876,702.00,444.00,26.00,29.00,1.0,-1,-1,-1
1,2877,598.00,437.00,31.00,33.00,1.0,-1,-1,-1
1,2878,699.00,412.00,23.00,24.00,1.0,-1,-1,-1
1,2879,676.00,359.00,25.00,19.00,1.0,-1,-1,-1
1,2880,744.00,409.00,24.00,24.00,1.0,-1,-1,-1
1,2881,720.00,334.00,19.00,17.00,1.0,-1,-1,-1
1,2882,713.00,703.00,25.00,44.00,1.0,-1,-1,-1
1,2883,702.00,379.00,22.00,23.00,1.0,-1,-1,-1
1,2884,594.00,410.00,23.00,27.00,1.0,-1,-1,-1
1,2885,643.00,326.00,23.00,17.00,1.0,-1,-1,-1
1,2886,741.00,380.00,21.00,24.00,1.0,-1,-1,-1
1,2887,9.00,258.00,62.00,30.00,1.0,-1,-1,-1
2,2871,566.16,478.60,37.35,47.74,1.0,-1,-1,-1
2,2872,641.27,570.81,46.12,68.74,1.0,-1,-1,-1
2,2873,743.15,505.60,30.96,35.00,1.0,-1,-1,-1
2,2874,698.69,561.21,43.02,56.00,1.0,-1,-1,-1
2,2875,696.55,488.47,33.43,39.74,1.0,-1,-1,-1
2,2876,700.35,445.74,27.56,30.74,1.0,-1,-1,-1
2,2877,596.26,440.47,31.00,33.00,1.0,-1,-1,-1
2,2878,697.26,413.74,23.87,24.87,1.0,-1,-1,-1
2,2879,673.26,359.00,26.14,19.87,1.0,-1,-1,-1
2,2880,741.42,409.87,26.56,26.60,1.0,-1,-1,-1
2,2881,718.18,334.00,20.90,18.74,1.0,-1,-1,-1
2,2882,711.08,705.60,24.50,43.13,1.0,-1,-1,-1
2,2883,701.15,379.00,22.83,23.87,1.0,-1,-1,-1
2,2885,640.86,328.60,22.94,17.00,1.0,-1,-1,-1
2,2886,738.98,381.74,23.30,26.60,1.0,-1,-1,-1
2,2887,-5.69,261.47,68.82,33.47,1.0,-1,-1,-1
3,2871,561.66,483.66,38.69,49.57,1.0,-1,-1,-1
3,2872,638.39,579.09,47.28,70.58,1.0,-1,-1,-1
3,2873,741.59,507.61,32.23,36.56,1.0,-1,-1,-1
3,2874,696.32,564.44,44.20,57.56,1.0,-1,-1,-1
3,2875,695.38,492.89,33.63,40.03,1.0,-1,-1,-1
3,2876,698.94,448.32,27.81,31.04,1.0,-1,-1,-1
3,2877,592.84,442.62,31.79,33.78,1.0,-1,-1,-1
3,2878,695.13,414.03,26.15,27.32,1.0,-1,-1,-1
3,2879,671.75,359.76,25.36,19.25,1.0,-1,-1,-1
3,2880,740.99,410.76,26.96,27.06,1.0,-1,-1,-1
