1,1544,339.00,205.00,65.00,27.00,1.0,-1,-1,-1
1,1545,603.00,239.00,76.00,33.00,1.0,-1,-1,-1
1,1546,329.00,475.00,85.00,65.00,1.0,-1,-1,-1
1,1547,439.00,484.00,87.00,56.00,1.0,-1,-1,-1
1,1548,256.00,157.00,21.00,19.00,1.0,-1,-1,-1
1,1549,153.00,382.00,46.00,42.00,1.0,-1,-1,-1
1,1550,62.00,190.00,46.00,24.00,1.0,-1,-1,-1
1,1551,514.00,227.00,59.00,26.00,1.0,-1,-1,-1
1,1552,288.00,132.00,18.00,17.00,1.0,-1,-1,-1
2,1544,338.56,205.00,65.02,27.00,1.0,-1,-1,-1
2,1545,601.69,239.00,76.02,33.00,1.0,-1,-1,-1
2,1546,328.00,474.13,86.13,65.87,1.0,-1,-1,-1
2,1547,437.47,483.13,88.32,56.87,1.0,-1,-1,-1
2,1548,255.58,157.00,20.98,19.00,1.0,-1,-1,-1
2,1549,152.13,382.00,46.00,42.00,1.0,-1,-1,-1
2,1550,60.76,189.13,47.61,24.87,1.0,-1,-1,-1
2,1551,514.56,227.00,63.08,27.74,1.0,-1,-1,-1
2,1552,288.00,131.13,18.00,17.00,1.0,-1,-1,-1
3,1544,338.62,205.00,63.18,26.22,1.0,-1,-1,-1
3,1545,598.54,239.00,77.98,33.78,1.0,-1,-1,-1
3,1546,327.06,473.98,86.31,66.02,1.0,-1,-1,-1
3,1547,436.83,482.98,88.53,57.02,1.0,-1,-1,-1
3,1548,254.74,157.00,20.95,19.00,1.0,-1,-1,-1
3,1549,151.55,382.00,46.09,42.00,1.0,-1,-1,-1
3,1550,59.11,187.45,50.76,26.55,1.0,-1,-1,-1
3,1551,511.25,226.24,63.78,28.04,1.0,-1,-1,-1
3,1552,286.82,131.76,18.80,17.78,1.0,-1,-1,-1
3,1553,80.60,225.00,11.99,20.00,1.0,-1,-1,-1
4,1544,337.74,204.23,64.42,26.75,1.0,-1,-1,-1
4,1545,596.84,239.75,77.02,33.27,1.0,-1,-1,-1
4,1546,326.38,473.95,86.38,66.05,1.0,-1,-1,-1
4,1547,436.66,482.95,88.56,57.05,1.0,-1,-1,-1
4,1548,254.09,157.00,20.95,19.00,1.0,-1,-1,-1
4,1549,150.98,382.00,46.16,42.00,1.0,-1,-1,-1
4,1550,60.69,188.37,47.56,24.90,1.0,-1,-1,-1
4,1551,510.72,225.99,61.97,27.35,1.0,-1,-1,-1
4,1552,286.11,131.98,18.98,18.03,1.0,-1,-1,-1
4,1555,2.27,211.00,52.26,24.20,1.0,-1,-1,-1
5,1544,336.76,203.99,64.80,26.93,1.0,-1,-1,-1
5,1545,595.21,239.26,76.79,33.08,1.0,-1,-1,-1
5,1546,325.79,473.95,86.46,66.05,1.0,-1,-1,-1
5,1547,435.71,482.22,89.66,57.78,1.0,-1,-1,-1
5,1548,253.17,157.74,20.96,19.00,1.0,-1,-1,-1
5,1549,150.02,380.52,47.05,42.74,1.0,-1,-1,-1
5,1550,60.21,188.78,46.28,24.23,1.0,-1,-1,-1
5,1551,511.64,225.18,63.01,27.84,1.0,-1,-1,-1
5,1552,286.25,132.76,18.33,17.36,1.0,-1,-1,-1
5,1555,4.92,212.56,50.23,23.27,1.0,-1,-1,-1
5,1556,119.20,189.00,33.00,25.00,1.0,-1,-1,-1
6,1544,336.79,203.92,64.95,26.99,1.0,-1,-1,-1
6,1545,591.84,239.09,78.21,33.73,1.0,-1,-1,-1
6,1546,325.60,473.96,86.53,66.04,1.0,-1,-1,-1
6,1547,435.43,481.98,89.98,58.02,1.0,-1,-1,-1
6,1548,252.89,157.98,20.96,19.00,1.0,-1,-1,-1
6,1549,148.64,380.03,47.35,42.98,1.0,-1,-1,-1
6,1550,62.44,188.92,44.76,23.29,1.0,-1,-1,-1
6,1551,511.95,224.22,63.40,27.99,1.0,-1,-1,-1
6,1552,285.24,132.30,18.83,17.83,1.0,-1,-1,-1
6,1555,4.51,211.46,51.31,23.76,1.0,-1,-1,-1
6,1556,118.67,189.00,32.98,25.00,1.0,-1,-1,-1
7,1544,336.13,203.91,65.00,27.01,1.0,-1,-1,-1
7,1545,591.55,239.03,75.68,32.57,1.0,-1,-1,-1
7,1546,324.50,473.97,86.55,66.03,1.0,-1,-1,-1
7,1547,435.06,481.91,89.97,58.09,1.0,-1,-1,-1
7,1548,252.44,158.76,21.02,19.00,1.0,-1,-1,-1
7,1549,147.85,379.88,47.41,43.06,1.0,-1,-1,-1
7,1550,59.02,188.26,46.87,24.42,1.0,-1,-1,-1
7,1552,284.93,132.83,18.27,17.30,1.0,-1,-1,-1
7,1555,3.19,211.11,51.71,23.93,1.0,-1,-1,-1
7,1556,118.10,188.22,32.98,25.00,1.0,-1,-1,-1
7,1558,3.64,294.40,24.51,35.20,1.0,-1,-1,-1
8,1544,336.28,203.92,64.95,27.01,1.0,-1,-1,-1
8,1545,590.12,239.70,74.84,32.14,1.0,-1,-1,-1
8,1546,324.13,473.97,86.58,66.03,1.0,-1,-1,-1
8,1547,434.92,481.89,90.00,58.11,1.0,-1,-1,-1
8,1548,251.97,159.03,21.02,19.00,1.0,-1,-1,-1
8,1549,146.93,379.84,47.41,43.08,1.0,-1,-1,-1
8,1550,57.92,187.35,48.86,25.48,1.0,-1,-1,-1
8,1552,284.48,133.71,17.39,16.40,1.0,-1,-1,-1
